pattern,direction,neckline,span,symbol,triggered,date
inverse_head_shoulders,bull,,"(Timestamp('2025-06-20 00:00:00'), Timestamp('2025-06-19 00:00:00'))",ADANIENT.NS,False,2025-07-11
head_shoulders,bear,2617.0,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",ADANIENT.NS,True,2025-07-11
inverse_head_shoulders,bull,1354.800048828125,"(Timestamp('2025-06-20 00:00:00'), Timestamp('2025-06-23 00:00:00'))",ADANIPORTS.NS,True,2025-07-11
head_shoulders,bear,1458.0,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",ADANIPORTS.NS,False,2025-07-11
head_shoulders,bear,7030.0,"(Timestamp('2025-06-17 00:00:00'), Timestamp('2025-07-04 00:00:00'))",APOLLOHOSP.NS,False,2025-07-11
double_bottom,bull,3206.25,"(Timestamp('2023-10-04 00:00:00'), Timestamp('2023-10-27 00:00:00'))",ASIANPAINT.NS,False,2025-07-11
inverse_head_shoulders,bull,2244.800048828125,"(Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-16 00:00:00'))",ASIANPAINT.NS,False,2025-07-11
head_shoulders,bear,2309.0,"(Timestamp('2025-05-28 00:00:00'), Timestamp('2025-05-29 00:00:00'))",ASIANPAINT.NS,True,2025-07-11
double_top,bear,730.6500244140625,"(Timestamp('2023-07-21 00:00:00'), Timestamp('2023-08-04 00:00:00'))",AUBANK.NS,True,2025-07-11
double_bottom,bull,991.1500244140625,"(Timestamp('2023-08-18 00:00:00'), Timestamp('2023-09-01 00:00:00'))",AXISBANK.NS,True,2025-07-11
inverse_head_shoulders,bull,1221.0,"(Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-18 00:00:00'))",AXISBANK.NS,True,2025-07-11
head_shoulders,bear,1226.300048828125,"(Timestamp('2025-06-24 00:00:00'), Timestamp('2025-06-25 00:00:00'))",AXISBANK.NS,True,2025-07-11
double_bottom,bull,4931.39990234375,"(Timestamp('2023-07-25 00:00:00'), Timestamp('2023-08-11 00:00:00'))",BAJAJ-AUTO.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-20 00:00:00'))",BAJAJ-AUTO.NS,False,2025-07-11
inverse_head_shoulders,bull,1994.4000244140625,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",BAJAJFINSV.NS,True,2025-07-11
double_top,bear,1507.3499755859375,"(Timestamp('2023-07-26 00:00:00'), Timestamp('2023-08-10 00:00:00'))",BAJAJFINSV.NS,True,2025-07-11
head_shoulders,bear,2064.0,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-07-01 00:00:00'))",BAJAJFINSV.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-02 00:00:00'))",BAJFINANCE.NS,False,2025-07-11
head_shoulders,bear,941.7999877929688,"(Timestamp('2025-06-30 00:00:00'), Timestamp('2025-07-01 00:00:00'))",BAJFINANCE.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-20 00:00:00'))",BANKBARODA.NS,False,2025-07-11
head_shoulders,bear,243.5399932861328,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",BANKBARODA.NS,False,2025-07-11
inverse_head_shoulders,bull,397.3999938964844,"(Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-12 00:00:00'))",BEL.NS,False,2025-07-11
head_shoulders,bear,430.70001220703125,"(Timestamp('2025-07-02 00:00:00'), Timestamp('2025-07-03 00:00:00'))",BEL.NS,True,2025-07-11
double_bottom,bull,936.1500244140625,"(Timestamp('2023-09-04 00:00:00'), Timestamp('2023-09-22 00:00:00'))",BHARTIARTL.NS,False,2025-07-11
inverse_head_shoulders,bull,1865.9000244140625,"(Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-18 00:00:00'))",BHARTIARTL.NS,False,2025-07-11
head_shoulders,bear,2023.9000244140625,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-07-03 00:00:00'))",BHARTIARTL.NS,False,2025-07-11
inverse_head_shoulders,bull,107.81999969482422,"(Timestamp('2025-06-20 00:00:00'), Timestamp('2025-06-23 00:00:00'))",CANBK.NS,True,2025-07-11
head_shoulders,bear,115.0,"(Timestamp('2025-07-02 00:00:00'), Timestamp('2025-07-03 00:00:00'))",CANBK.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-19 00:00:00'))",CIPLA.NS,False,2025-07-11
head_shoulders,bear,1508.699951171875,"(Timestamp('2025-06-25 00:00:00'), Timestamp('2025-07-04 00:00:00'))",CIPLA.NS,False,2025-07-11
inverse_head_shoulders,bull,389.04998779296875,"(Timestamp('2025-06-19 00:00:00'), Timestamp('2025-06-20 00:00:00'))",COALINDIA.NS,True,2025-07-11
double_top,bear,280.04998779296875,"(Timestamp('2023-09-11 00:00:00'), Timestamp('2023-09-26 00:00:00'))",COALINDIA.NS,True,2025-07-11
head_shoulders,bear,397.3999938964844,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-06-30 00:00:00'))",COALINDIA.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-07-02 00:00:00'), Timestamp('2025-07-01 00:00:00'))",DRREDDY.NS,False,2025-07-11
inverse_head_shoulders,bull,5365.0,"(Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00'))",EICHERMOT.NS,True,2025-07-11
head_shoulders,bear,5715.5,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",EICHERMOT.NS,True,2025-07-11
inverse_head_shoulders,bull,249.4199981689453,"(Timestamp('2025-06-18 00:00:00'), Timestamp('2025-06-19 00:00:00'))",ETERNAL.NS,True,2025-07-11
double_top,bear,250.2100067138672,"(Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-27 00:00:00'))",ETERNAL.NS,True,2025-07-11
head_shoulders,bear,264.8500061035156,"(Timestamp('2025-06-27 00:00:00'), Timestamp('2025-07-01 00:00:00'))",ETERNAL.NS,True,2025-07-11
inverse_head_shoulders,bull,207.0800018310547,"(Timestamp('2025-06-17 00:00:00'), Timestamp('2025-06-18 00:00:00'))",FEDERALBNK.NS,True,2025-07-11
head_shoulders,bear,217.9499969482422,"(Timestamp('2025-07-03 00:00:00'), Timestamp('2025-07-04 00:00:00'))",FEDERALBNK.NS,False,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-18 00:00:00'), Timestamp('2025-06-17 00:00:00'))",GRASIM.NS,False,2025-07-11
head_shoulders,bear,2870.0,"(Timestamp('2025-06-30 00:00:00'), Timestamp('2025-07-01 00:00:00'))",GRASIM.NS,False,2025-07-11
double_bottom,bull,1182.5,"(Timestamp('2023-07-31 00:00:00'), Timestamp('2023-08-25 00:00:00'))",HCLTECH.NS,True,2025-07-11
double_top,bear,1118.5,"(Timestamp('2023-07-20 00:00:00'), Timestamp('2023-08-18 00:00:00'))",HCLTECH.NS,True,2025-07-11
head_shoulders,bear,1730.5,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-03 00:00:00'))",HCLTECH.NS,True,2025-07-11
double_bottom,bull,1652.199951171875,"(Timestamp('2023-08-03 00:00:00'), Timestamp('2023-08-22 00:00:00'))",HDFCBANK.NS,True,2025-07-11
inverse_head_shoulders,bull,1935.300048828125,"(Timestamp('2025-06-18 00:00:00'), Timestamp('2025-06-19 00:00:00'))",HDFCBANK.NS,False,2025-07-11
head_shoulders,bear,2013.800048828125,"(Timestamp('2025-06-30 00:00:00'), Timestamp('2025-07-01 00:00:00'))",HDFCBANK.NS,True,2025-07-11
inverse_head_shoulders,bull,,"(Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-09 00:00:00'))",HDFCLIFE.NS,False,2025-07-11
head_shoulders,bear,812.5999755859375,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",HDFCLIFE.NS,True,2025-07-11
inverse_head_shoulders,bull,4243.7001953125,"(Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00'))",HEROMOTOCO.NS,False,2025-07-11
